condition,algorithm,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
random_priority,dqn,6,500000,0.47836342321930625,0.4000450000000001,0.10054502633188335,0.2,1.0
random_priority,dqn,9,500000,0.26590199836580863,0.30004999999999993,0.07407037583988271,0.2,1.0
random_priority,dqn,14,500000,0.23919367129321772,0.7500000000000001,0.0707422722796225,0.2,1.0
random_priority,dqn,16,500000,0.30827458795351464,0.5863375,0.07935039079106285,0.2,1.0
random_priority,dqn,10,500000,0.49997391936712937,0.749985,0.103237893203443,0.2,1.0
random_priority,dqn,18,500000,0.44566195840222195,0.41251499999999997,0.09647012260662713,0.2,1.0
random_priority,dqn,19,500000,0.3461973248465316,0.3666749999999999,0.08407591310945557,0.2,1.0
random_priority,dqn,13,500000,0.2489919189894422,0.412735,0.07196322419298967,0.2,1.0
random_priority,dqn,15,500000,0.7725461921713614,0.6000199999999999,0.13720290902350657,0.2,1.0
random_priority,dqn,17,500000,0.6573567098450472,0.5666925000000002,0.12284923852992638,0.2,1.0
latency_05,dqn,1,500000,0.5054426275457988,0.4865624999999999,0.10391934461408309,0.2,1.0
latency_05,dqn,0,500000,0.265967773826801,0.3000324999999999,0.0740785720681718,0.2,1.0
latency_05,dqn,5,500000,0.3089836431815108,0.38752,0.079438745603489,0.2,1.0
latency_05,dqn,6,500000,0.15223160488961726,0.5,0.059905997809162684,0.2,1.0
latency_05,dqn,9,500000,0.04139361466065208,0.37498,0.04609456331195434,0.2,1.0
latency_05,dqn,13,500000,0.10592113289287854,0.316685,0.05413528643848133,0.2,1.0
latency_05,dqn,7,500000,0.3854827902536473,0.41250999999999993,0.08897124395262462,0.2,1.0
latency_05,dqn,4,500000,0.26595447413403256,0.30002749999999995,0.07407691480395107,0.2,1.0
latency_05,dqn,14,500000,0.32330769339513254,0.416675,0.08122365419711722,0.2,1.0
latency_05,dqn,11,500000,0.08698119832321964,0.2500375,0.05177519613776515,0.2,1.0
latency_05,dqn,8,500000,0.33205453460182655,0.350005,0.08231359117751698,0.2,1.0
latency_05,dqn,2,500000,0.26591366757624035,0.29999,0.07407182993098613,0.2,1.0
latency_05,dqn,3,500000,0.265891535481871,0.30012749999999994,0.07406907206817179,0.2,1.0
latency_05,dqn,10,500000,0.09284614565679171,0.250025,0.052506022596814736,0.2,1.0
latency_05,dqn,15,500000,0.7722272726567699,0.5999499999999999,0.13716316871446124,0.2,1.0
latency_05,dqn,12,500000,-0.00010507773601686006,0.20010000000000003,0.04092344400013369,0.2,1.0
latency_05,dqn,16,500000,0.1946402169189423,0.3166725,0.06519050148836669,0.2,1.0
latency_05,dqn,17,500000,0.2659725305841477,0.3000049999999999,0.07407916480395109,0.2,1.0
latency_05,dqn,19,500000,0.029284630465098493,0.30310500000000007,0.044585672346869755,0.2,1.0
latency_05,dqn,18,500000,0.7723933069390764,0.5999974999999999,0.13718385811535735,0.2,1.0
