sweep,maker_rebate,tie_rule,tick_size,seed,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread
tick_size,0.0,split,0.4,19,0.46008954338871505,0.7000024999999997,0.12910042652777184,0.5,1.3
tick_size,0.0,split,0.5,15,0.5101651346590577,0.8499937499999998,0.14189787922119446,0.6,1.1
tick_size,0.0,split,0.3,18,0.9930391423864252,0.9999962499999999,0.15916184215947626,0.4,1.3
tick_size,0.0,split,0.3,15,0.9935067461461816,0.999971875,0.15919995010973934,0.4,1.3
tick_size,0.0,split,0.3,16,0.7240196295475134,0.7000412499999997,0.1372377622068219,0.4,1.3
tick_size,0.0,split,0.4,6,0.9078441648049762,0.8999975,0.15450119721023417,0.5,1.3
tick_size,0.0,split,0.3,17,0.5829409411585142,0.8000012500000002,0.12574037894560056,0.4,1.3
tick_size,0.0,split,0.3,1,0.7258617669344084,0.7000131249999997,0.13738788948542657,0.4,1.3
rebate,0.1,split,,12,0.9578367475629205,0.7999975000000004,0.1698483696677026,0.1,1.0
tick_size,0.0,split,0.4,16,0.9104456136020953,0.8999674999999999,0.15464877537286437,0.5,1.3
rebate,0.4,split,,16,0.17929469217276947,0.15000562499999998,0.15780801229913077,0.1,0.8
tick_size,0.0,split,0.3,19,0.7009939891549613,0.7524418749999998,0.1353612589911252,0.4,1.3
tick_size,0.0,split,0.5,16,1.0058103926280886,1.0999875000000001,0.16105230068169335,0.6,1.1
rebate,0.0,split,,12,0.924887714025688,0.7999831250000004,0.14738160171527392,0.2,1.0
tick_size,0.0,split,0.2,4,0.7911484770213676,0.7000074999999997,0.13702851981737832,0.3,1.1
tick_size,0.0,split,0.3,6,0.8659889957636739,1.0000075000000002,0.1488077323658808,0.4,1.3
rebate,0.3,split,,7,0.584662577686298,0.5,0.1650026740085863,0.1,0.8
tick_size,0.0,split,0.2,12,0.7908710020559714,0.7000174999999996,0.13699690074164142,0.3,1.1
tick_size,0.0,split,0.15,17,0.9438765405016324,1.1499774999999994,0.1536982131357506,0.25,1.15
rebate,0.0,split,,1,0.7633429189811456,0.6000012499999997,0.12299466883711804,0.2,1.0
tick_size,0.0,split,0.3,14,0.572369206738397,0.6999962499999999,0.1248788222941183,0.4,1.3
rebate,0.0,split,,16,0.7646658042249344,0.5999999999999998,0.12319437266314899,0.2,1.0
rebate,0.0,split,,4,1.0003307721757477,0.999960625,0.15877054677364627,0.2,1.0
tick_size,0.0,split,0.2,5,0.7873001183848491,0.6999999999999997,0.13658998820780746,0.3,1.1
tick_size,0.0,split,0.3,12,1.003467215588698,1.2999306250000005,0.16001169096124573,0.4,1.3
rebate,0.2,split,,5,0.9794876470899344,0.7999856250000004,0.19252426893676236,0.1,1.0
rebate,0.2,split,,2,0.7671830680000492,0.5000100000000001,0.1616366336561685,0.1,1.0
rebate,0.3,split,,6,0.3959348569774947,0.7785725,0.1424908875062167,0.1,0.8
rebate,0.1,split,,5,0.8437922935981244,0.6000087499999996,0.1501944878026967,0.1,1.0
rebate,0.0,split,,7,0.7608521152773813,0.5999987499999997,0.12261865509604013,0.2,1.0
rebate,0.0,split,,13,0.925154360609395,0.7990587500000004,0.14742185489914938,0.2,1.0
rebate,0.05,split,,7,0.7739371293135539,0.5999987499999997,0.13633898396976885,0.2,1.0
rebate,0.1,split,,10,0.8435302719639246,0.5999881249999997,0.15014933223339363,0.1,1.0
rebate,0.3,split,,0,0.7039077281909599,0.4000000000000002,0.17922645289767591,0.1,0.8
baseline,0.0,split,,19,0.7638716706164933,0.5999974999999996,0.12307448961151615,0.2,1.0
rebate,0.05,split,,11,0.7759843919335051,0.5999868749999998,0.13662496511425537,0.2,1.0
rebate,0.3,split,,10,0.5059445703635067,0.93330625,0.15561304662323322,0.1,0.8
rebate,0.2,split,,18,0.8760378042529663,0.5999731249999997,0.1774736231660454,0.1,1.0
rebate,0.2,split,,10,0.6590199871970721,0.4000000000000002,0.14590027128004995,0.1,1.0
baseline,0.0,split,,0,0.9249443745564421,0.7999925000000003,0.14739015523480983,0.2,1.0
rebate,0.0,split,,2,0.7605233538845254,0.6000018749999998,0.12256902501035218,0.2,1.0
rebate,0.3,split,,11,0.9217499825228408,0.5999468749999998,0.20521107403492175,0.1,0.8
rebate,0.05,split,,12,0.933408576318547,0.7999843750000004,0.15861547477410753,0.2,1.0
rebate,0.2,split,,8,0.9788090537225681,0.7999368750000003,0.19242554217107086,0.1,1.0
tick_size,0.0,split,0.5,13,0.021909654061488686,0.6000468749999998,0.12302903884514343,0.6,1.1
rebate,0.1,split,,2,0.9580298169907857,0.8000012500000003,0.16988164233985006,0.1,1.0
tick_size,0.0,split,0.2,3,1.0016841775427578,1.0999750000000001,0.16101967249884952,0.3,1.1
rebate,0.3,split,,5,0.7264567738980199,0.450006875,0.18191614416763374,0.1,0.8
rebate,0.1,split,,8,0.9584737776113853,0.7999675000000003,0.16995815241365578,0.1,1.0
