sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.05)",0.0,1,50000,0.40125188929398475,0.6966020000000002,0.08296339628541305,0.2,1.0,-1.2857142857142856,,,asymmetric_cost_05
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.05)",0.0,3,50000,0.3689038368894616,0.6728090000000001,0.07875022897869638,0.2,1.0,0.33333333333333326,,,asymmetric_cost_05
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.05)",0.0,4,50000,0.3880958978555852,0.679975,0.08124989612402593,0.2,1.0,-1.0,,,asymmetric_cost_05
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.1)",0.0,0,50000,0.393392697163896,0.687599,0.0739226627241119,0.2,1.0,-0.14285714285714277,,,asymmetric_cost_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.1)",0.0,1,50000,0.423447462333107,0.7121890000000001,0.07800651905246765,0.2,1.0,-0.19999999999999996,,,asymmetric_cost_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.1)",0.0,2,50000,0.4054420251002763,0.6945760000000001,0.07555993135250998,0.2,1.0,0.5555555555555556,,,asymmetric_cost_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.1)",0.0,3,50000,0.39619355456911315,0.68903,0.07430324461103463,0.2,1.0,-0.4999999999999999,,,asymmetric_cost_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,"(0.0, 0.1)",0.0,4,50000,0.4067826723347328,0.693101,0.07574209916056647,0.2,1.0,-0.6666666666666667,,,asymmetric_cost_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)",,0.0,0,50000,0.5055904432409674,0.650587,0.0995322632872804,0.1,1.0,0.0,,,asymmetric_rebate_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)",,0.0,1,50000,0.5286111605058207,0.6670279999999998,0.10303421621430976,0.1,1.0,-0.4999999999999999,,,asymmetric_rebate_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)",,0.0,2,50000,0.5232472197370668,0.6602239999999999,0.1022182438942714,0.1,1.0,-0.19999999999999996,,,asymmetric_rebate_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)",,0.0,3,50000,0.4942858080263835,0.641064,0.09781258184020611,0.1,1.0,-0.3333333333333332,,,asymmetric_rebate_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)",,0.0,4,50000,0.5239039496589486,0.66021,0.1023181468315145,0.1,1.0,-0.7777777777777778,,,asymmetric_rebate_10
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)","(0.0, 0.05)",0.0,0,50000,0.517743738099203,0.651981,0.09354565951752603,0.1,1.0,0.27272727272727276,,,asymmetric_rebate_and_cost
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)","(0.0, 0.05)",0.0,1,50000,0.5308273646516972,0.671532,0.09562378129806239,0.1,1.0,-1.0,,,asymmetric_rebate_and_cost
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)","(0.0, 0.05)",0.0,2,50000,0.5378392580931068,0.6706669999999998,0.09673750679495953,0.1,1.0,-0.3333333333333335,,,asymmetric_rebate_and_cost
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)","(0.0, 0.05)",0.0,3,50000,0.5201411992177972,0.6558059999999999,0.09392645731457029,0.1,1.0,-0.7142857142857143,,,asymmetric_rebate_and_cost
heterogeneous_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,"(0.1, 0.0)","(0.0, 0.05)",0.0,4,50000,0.540144033536612,0.6701710000000002,0.09710358297645069,0.1,1.0,0.14285714285714296,,,asymmetric_rebate_and_cost
