suite,condition,condition_label,maker_rebates,taker_fees,n_makers,tie_rule,seed,periods,maker_rebate_a,maker_rebate_b,taker_fee_a,taker_fee_b,avg_profit,collusion_index,realized_spread,effective_spread,venue_a_flow_share,nash_spread,nash_effective_spread,nash_venue,monopoly_spread,monopoly_effective_spread,monopoly_venue
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,15,500000,0.0,0.0,0.2,0.0,0.13718665569019664,0.7724157577259779,0.5999259999999997,0.5999319999999999,3e-05,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,16,500000,0.0,0.0,0.2,0.0,0.1371988845931484,0.7725138957598044,0.5999859999999998,0.5999919999999999,3e-05,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,17,500000,0.0,0.0,0.2,0.0,0.13718227391696824,0.7723805936061052,0.5999059999999999,0.5999139999999998,4e-05,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,18,500000,0.0,0.0,0.2,0.0,0.13717219127050065,0.7722996794714523,0.5998539999999999,0.5998759999999999,0.00011,0.2,0.2,1,1.0,1.0,1
two_venue_routing,taker_fee_vs_neutral,taker-fee venue vs neutral,"(0.0, 0.0)","(0.2, 0.0)",2,split,19,500000,0.0,0.0,0.2,0.0,0.1370768571579763,0.7715346147394291,0.5993859999999999,0.5994079999999999,0.00011,0.2,0.2,1,1.0,1.0,1
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,0,500000,0.2,0.0,0.2,0.0,0.11979790375341068,0.632305883184607,0.4141999999999999,0.514198,0.49999,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,1,500000,0.2,0.0,0.2,0.0,0.11405585183213854,0.5862664421889946,0.360016,0.47995800000000005,0.59971,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,2,500000,0.2,0.0,0.2,0.0,0.11047988625124038,0.5575945564900532,0.3357559999999999,0.471462,0.67853,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,3,500000,0.2,0.0,0.2,0.0,0.1193485284289685,0.6287028177616186,0.39993399999999996,0.49995199999999995,0.50009,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,4,500000,0.2,0.0,0.2,0.0,0.13714958364254917,0.771430651365693,0.499656,0.59976,0.50052,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,5,500000,0.2,0.0,0.2,0.0,0.11506291701254262,0.5943410326990849,0.38330800000000004,0.5166360000000001,0.66664,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,6,500000,0.2,0.0,0.2,0.0,0.11233010150957001,0.5724294756762554,0.4833219999999998,0.516682,0.1668,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,7,500000,0.2,0.0,0.2,0.0,0.11080476220365888,0.5601993931316125,0.354546,0.47270199999999996,0.59078,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,8,500000,0.2,0.0,0.2,0.0,0.12551600586623027,0.6781532959979206,0.37975999999999993,0.5516600000000002,0.8595,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,9,500000,0.2,0.0,0.2,0.0,0.12575570014855356,0.6800751509235312,0.43744,0.562412,0.62486,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,10,500000,0.2,0.0,0.2,0.0,0.13728668636141306,0.7725299330548898,0.499862,0.6497860000000001,0.74962,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,11,500000,0.2,0.0,0.2,0.0,0.10939995291358778,0.5489357132995452,0.342866,0.4643040000000001,0.60719,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,12,500000,0.2,0.0,0.2,0.0,0.12446116641129473,0.6696956541111525,0.32020199999999993,0.519964,0.99881,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,13,500000,0.2,0.0,0.2,0.0,0.11600103234813325,0.6018627873317799,0.38997,0.5099799999999999,0.60005,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,14,500000,0.2,0.0,0.2,0.0,0.11527626061438508,0.5960516093890011,0.35337,0.49999600000000005,0.73313,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,15,500000,0.2,0.0,0.2,0.0,0.11885683705617052,0.624760464704496,0.399906,0.499914,0.50004,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,16,500000,0.2,0.0,0.2,0.0,0.1383495046459211,0.7810515487368019,0.666564,0.6666000000000002,0.00018,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,17,500000,0.2,0.0,0.2,0.0,0.12382007823020724,0.6645554460651718,0.39993399999999996,0.53324,0.66653,0.2,0.2,1,1.0,1.2,0
two_venue_routing,maker_taker_vs_neutral,maker-taker venue vs neutral,"(0.2, 0.0)","(0.2, 0.0)",2,split,18,500000,0.2,0.0,0.2,0.0,0.12340061923894263,0.6611922480754664,0.4415619999999999,0.5499140000000001,0.54176,0.2,0.2,1,1.0,1.2,0
