sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,6,500000,-9.386968997599622e-05,0.6000299999999997,0.13720016496532608,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,15,500000,0.00010500576372781106,0.10026600000000001,0.13573495179929546,0.1,0.8,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,16,500000,0.9692624471908405,0.799785,0.1796764881065447,0.1,1.0,0.875
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,3,500000,0.7394133840795658,0.7013769999999999,0.14860820699545263,0.4,1.0,0.4285714285714285
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,0,500000,0.7449154947595928,0.700009,0.1489658317638076,0.4,1.0,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,15,500000,0.6034571594305626,1.1199729999999999,0.1397713594338409,0.4,1.0,0.6521739130434783
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,9,500000,-0.00018773937995104299,0.5999999999999998,0.1371974209071456,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.05,split,,1,500000,0.8433166434284746,0.5999859999999998,0.15090778046488046,0.1,1.0,0.6666666666666666
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,11,500000,0.29066655133800773,0.5500259999999999,0.1615771671401951,0.1,0.8,0.8095238095238095
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,8,500000,-9.386968997599622e-05,0.6000249999999997,0.13720016496532608,0.6,1.1,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,16,500000,0.9994488103684188,0.999877,0.16550992244589094,0.4,1.0,0.6
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,14,500000,-9.386968997599622e-05,0.6000049999999997,0.13720016496532608,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,15,500000,0.969027422360334,0.7997430000000002,0.17964389066793113,0.1,1.0,0.7500000000000001
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,15,500000,0.9786936142704545,0.9000160000000001,0.16261967055536578,0.5,1.3,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.4,10,500000,-5.747342914337978e-05,0.500024,0.1213037058198878,0.5,1.3,-0.3076923076923076
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.2,15,500000,0.9993325778776613,1.099704,0.16637390293337775,0.3,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.3,split,,8,500000,4.598167363734559e-05,0.100206,0.1357297022634582,0.1,0.8,0.0
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.3,18,500000,0.9989824979366709,0.999838,0.16547961319093715,0.4,1.0,0.6
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.2,split,,3,500000,0.700355120846307,0.6374570000000002,0.16881842764128605,0.1,1.0,0.8260869565217391
tick_size,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,0.5,0,500000,-0.00018773937995104299,0.6000249999999997,0.1371974209071456,0.6,1.1,0.0
rebate,2,0.5,0.2,1.0,2e-05,0.125,0.1,split,,2,500000,0.501244898055233,0.9124069999999999,0.11476346042709609,0.1,1.0,-0.5
