sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,6,500000,0.6457499271569836,0.774898,0.12140292649838948,0.2,1.0,0.5675675675675675
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,16,500000,0.9332993156981436,0.7999120000000001,0.15723422889158897,0.2,1.0,0.25000000000000006
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,8,500000,0.5685656704898947,1.1831050000000003,0.11178505718326515,0.2,1.0,0.8400000000000001
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,0,500000,0.4330772745104317,0.5389409999999999,0.09490195507778185,0.2,1.0,0.25000000000000006
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,9,500000,0.8525578378785439,0.79976,0.14717309705574863,0.2,1.0,0.25000000000000006
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,5,500000,0.6329523786067712,0.674985,0.1198082340724354,0.2,1.0,0.38461538461538447
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,12,500000,0.5763135599044122,0.5000499999999999,0.11275051556914138,0.2,1.0,-0.19999999999999996
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,4,500000,0.7723886186130344,0.5999759999999997,0.13718327390674895,0.2,1.0,0.0
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,15,500000,0.5591483054866853,0.9664390000000004,0.11061156676170986,0.2,1.0,0.8297872340425532
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,4,500000,0.9332173529744454,0.7998690000000003,0.15722401558126792,0.2,1.0,0.7500000000000001
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,4,500000,0.716621908405852,0.72995,0.13023422815483474,0.2,1.0,0.44827586206896547
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,3,500000,0.772457171198161,0.5999689999999998,0.1371918161902849,0.2,1.0,0.33333333333333326
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,19,500000,0.6693868477921693,0.8124109999999999,0.1243483045262136,0.2,1.0,0.6
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,10,500000,0.772483825176103,0.5999989999999998,0.13719513752144288,0.2,1.0,0.33333333333333326
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,11,500000,0.9333093648772056,0.7998890000000002,0.1572354811118618,0.2,1.0,0.0
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,18,500000,0.6859849298006827,0.5999889999999999,0.12641657842730394,0.2,1.0,0.30434782608695643
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,19,500000,0.77236322987052,0.5999349999999998,0.13718011023557916,0.2,1.0,0.5
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,12,500000,0.5591139010964167,0.7997970000000003,0.11060727965778791,0.2,1.0,-0.33333333333333354
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,14,500000,0.533174705736216,0.612442,0.10737501699326624,0.2,1.0,0.6923076923076923
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,6,500000,0.5189417611301453,0.8747980000000001,0.10560146099750109,0.2,1.0,0.33333333333333337
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,15,500000,0.4526008455945953,0.6124609999999999,0.09733477186400727,0.2,1.0,0.5555555555555556
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,1,500000,0.4624170110847424,0.874916,0.09855795649953573,0.2,1.0,0.6470588235294118
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,18,500000,0.7724491841661505,0.5999609999999997,0.13719082093252885,0.2,1.0,0.33333333333333326
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,9,500000,0.7274110117924533,0.8663070000000002,0.13157864981386902,0.2,1.0,-0.5384615384615384
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,2,500000,0.5856250225910143,0.7000430000000001,0.11391080958659458,0.2,1.0,0.4545454545454546
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,5,500000,0.6242740015685548,0.899306,0.11872682835804273,0.2,1.0,-0.6666666666666667
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,7,500000,0.7724267780579526,0.6000549999999998,0.13718802892506757,0.2,1.0,0.33333333333333326
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,1,500000,0.7390301647557851,1.224754,0.1330265032956454,0.2,1.0,0.6666666666666667
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,14,500000,0.7292776798900285,0.879409,0.13181125385247014,0.2,1.0,0.6363636363636364
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,1,500000,0.7725051592769384,0.6000389999999998,0.13719779594691267,0.2,1.0,0.5
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,7,500000,0.6300912471494983,0.7499910000000001,0.11945171073934,0.2,1.0,0.5714285714285715
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,10,500000,0.9992743639811577,0.999537,0.16545532759545992,0.2,1.0,0.8
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,15,500000,0.7723279196262455,0.6000199999999998,0.13717571025390438,0.2,1.0,-0.6666666666666667
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,3,500000,0.625346764808742,0.7249260000000001,0.11886050453885627,0.2,1.0,0.5555555555555556
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,10,500000,0.6572249727587681,0.6166409999999999,0.1228328228755624,0.2,1.0,0.6
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,11,500000,0.8859254553839826,1.149721,0.1513310095418218,0.2,1.0,0.7
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,13,500000,0.5149061064493157,0.7498830000000001,0.10509858125236597,0.2,1.0,0.5294117647058824
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,8,500000,0.6036216861946048,0.8499869999999998,0.11615335963658932,0.2,1.0,0.4285714285714286
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,0,500000,0.6361262071851939,0.937394,0.12020372234703962,0.2,1.0,0.6842105263157894
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,18,500000,0.8289603645337035,1.049537,0.14423263452364551,0.2,1.0,0.6190476190476191
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,12,500000,0.7723292613452633,0.5999549999999999,0.1371758774444524,0.2,1.0,0.33333333333333326
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,0,500000,0.43243433618659144,0.6735990000000001,0.09482183904060794,0.2,1.0,0.7142857142857143
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,15,500000,0.8859103864625878,1.2747169999999999,0.15132913181541807,0.2,1.0,0.6799999999999999
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,17,500000,0.5907747036343498,0.5999829999999999,0.11455250727765355,0.2,1.0,0.33333333333333326
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,19,500000,0.7279963940574614,0.783257,0.1316515938359709,0.2,1.0,0.6
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,4,500000,0.6526880888059935,0.6624350000000001,0.12226748534638364,0.2,1.0,0.3846153846153846
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,1,500000,0.8861395260363234,0.899972,0.1513576847168811,0.2,1.0,0.25000000000000006
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,17,500000,0.43508937786960983,0.7799339999999998,0.09515268168956445,0.2,1.0,0.1724137931034483
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,16,500000,0.7014747877576671,1.224763,0.1283467574038625,0.2,1.0,0.6842105263157894
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,19,500000,0.5626787455377918,0.8375,0.11105149211051356,0.2,1.0,0.7575757575757576
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,9,500000,0.7586636215121214,0.8397519999999999,0.13547301284876653,0.2,1.0,0.14285714285714296
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,6,500000,0.5813550657941773,0.6083320000000001,0.11337873363967785,0.2,1.0,0.4545454545454546
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,8,500000,0.5686605007712909,0.8999990000000001,0.11179687390979681,0.2,1.0,0.6
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,18,500000,0.6030987938340284,0.641598,0.11608820243216625,0.2,1.0,0.4838709677419354
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,13,500000,0.8528058001136906,0.749998,0.14720399543419663,0.2,1.0,0.7500000000000001
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,5,500000,0.4489324850331237,0.7375010000000001,0.09687766034924375,0.2,1.0,0.5714285714285714
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,12,500000,0.8860216341586382,0.9748289999999998,0.15134299430303438,0.2,1.0,0.23809523809523808
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,14,500000,0.7024047052074004,0.7123479999999999,0.12846263368345104,0.2,1.0,-0.18518518518518517
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,7,500000,0.546095669454365,0.574995,0.10898508808590668,0.2,1.0,0.4545454545454546
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,10,500000,0.5431748416898462,0.599957,0.10862112604307331,0.2,1.0,0.36
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,11,500000,0.6125082934087267,0.762407,0.11726071274888158,0.2,1.0,0.4
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,2,500000,0.5488459846334869,0.8099920000000002,0.10932780269002977,0.2,1.0,0.8947368421052632
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,persistent_queue,,1,0.7,12.0,,,0.0,3,500000,0.5056142482150838,0.4666909999999999,0.10394073013025223,0.2,1.0,0.5789473684210525
