sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,1,500000,0.7852097216615463,0.8000040000000003,0.1123212940298589,0.4,1.5,0.5
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,0,500000,0.6986890594579496,1.049637,0.25781354438199433,0.2,2.0,0.6190476190476191
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,9,500000,0.9485741514642659,0.999855,0.1287168902552243,0.4,1.5,0.19999999999999996
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,1,500000,0.6402632001987176,0.40003000000000005,0.13404500000110733,0.1,1.0,-1.4999999999999998
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,10,500000,0.7851059026386895,0.7999400000000001,0.11231087453535003,0.4,1.5,0.0
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,8,500000,0.9587541190856327,0.7999300000000001,0.16846833694604885,0.1,1.0,0.0
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,2,500000,0.7482262350420468,0.999868,0.27288491292691375,0.2,2.0,0.6
n_makers,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,19,500000,0.77236322987052,0.5999349999999998,0.13718011023557916,0.2,1.0,0.5
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,3,500000,0.7851792918873332,0.7999740000000002,0.11231824003400538,0.4,1.5,0.25000000000000006
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,19,500000,0.6221402455890186,0.7999600000000001,0.23452405781172117,0.2,2.0,0.0
adverse,2,0.5,0.0,1.0,2e-05,0.125,0.0,split,,0,500000,0.8605982784227554,0.5999219999999998,0.1646050015607204,0.1,1.0,0.0
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,4,500000,0.8432265734616553,0.5999369999999997,0.1508940788594825,0.1,1.0,0.33333333333333326
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,19,500000,0.6603706112408112,0.6000059999999998,0.10975489054531545,0.3,1.0,0.33333333333333326
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,11,500000,0.4599899137796422,0.6000009999999998,0.1851908574109172,0.2,2.0,0.33333333333333326
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,7,500000,0.7724549725910291,0.5999959999999998,0.13719154222358518,0.2,1.0,0.6666666666666666
adverse,2,0.5,0.4,1.0,2e-05,0.125,0.0,split,,5,500000,0.660317529091385,0.5999919999999999,0.109749045623903,0.3,1.0,0.0
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,16,500000,0.6222275784748209,0.7998740000000002,0.2345506282831398,0.2,2.0,0.25000000000000006
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,12,500000,0.7723292613452633,0.5999549999999999,0.1371758774444524,0.2,1.0,0.33333333333333326
adverse,2,0.5,0.1,1.0,2e-05,0.125,0.0,split,,18,500000,0.8432619746696569,0.5999119999999999,0.15089946415493422,0.1,1.0,-0.3333333333333335
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,19,500000,0.77236322987052,0.5999349999999998,0.13718011023557916,0.2,1.0,0.5
adverse,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5
elasticity,2,0.5,0.2,0.5,2e-05,0.125,0.0,split,,3,500000,0.6223702459150853,0.7999660000000002,0.2345940339385134,0.2,2.0,0.25000000000000006
adverse,2,0.5,0.6,1.0,2e-05,0.125,0.0,split,,15,500000,0.6356016365143132,0.6999839999999999,0.09730631335697752,0.4,1.5,-0.14285714285714282
