sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,tie_rule,tick_size,memory,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,10,500000,0.772483825176103,0.5999989999999998,0.13719513752144288,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,11,500000,0.7722144670384806,0.9996519999999999,0.13716157301647147,0.2,1.0,0.14285714285714282
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,9,500000,0.7724106399239895,0.5999699999999999,0.13718601796492946,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,16,500000,0.7724336786499012,0.6000049999999999,0.13718888880238483,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,10,500000,0.7723690854617268,0.5999739999999998,0.13718083989617863,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,18,500000,0.9333098102044199,0.7998810000000002,0.15723553660373457,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,17,500000,0.7723468562838323,0.5999639999999998,0.13717806993586285,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,13,500000,0.7059219362520119,0.5999890000000001,0.12890091306837898,0.2,1.0,-0.3333333333333332
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,15,500000,0.7723279196262455,0.6000199999999998,0.13717571025390438,0.2,1.0,-0.6666666666666667
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,9,500000,0.7723450424739442,0.5999399999999998,0.137177843918444,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,9,500000,0.9334361832170037,0.7999630000000002,0.1572512838451083,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,19,500000,0.7723953129103812,0.5999709999999998,0.1371841080778587,0.2,1.0,0.6666666666666666
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,14,500000,0.7724565533058706,0.6000069999999997,0.13719173919521419,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,19,500000,0.77236322987052,0.5999349999999998,0.13718011023557916,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,11,500000,0.7724878945432065,0.5999809999999998,0.1371956446020664,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,1,500000,0.7725051592769384,0.6000389999999998,0.13719779594691267,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,14,500000,0.7724997848074252,0.6000019999999997,0.13719712623850777,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,0,500000,0.7723279730332293,0.5999459999999998,0.13717571690890648,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,6,500000,0.7720504204027231,0.5998539999999998,0.1371411312946433,0.2,1.0,0.6666666666666666
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,2,500000,0.9335039118214138,0.8000200000000002,0.1572597234530574,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,5,500000,0.7724374724045732,0.5999639999999997,0.13718936153916075,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,1,500000,0.7724054315893709,0.5999849999999998,0.13718536895846267,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,1,500000,0.7725051592769384,0.6000389999999998,0.13719779594691267,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,2,500000,0.9246114648029234,1.49959,0.15615164264735112,0.2,1.0,0.7333333333333334
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,18,500000,0.9996526251625214,0.999702,0.16550246242277364,0.2,1.0,0.6
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,6,500000,0.9334852408742224,0.8000060000000002,0.1572573968810616,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,16,500000,0.9331759377117008,0.7998810000000002,0.1572188548580592,0.2,1.0,0.7500000000000001
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,6,500000,0.6742542241014601,0.799828,0.12495482444713747,0.2,1.0,0.5555555555555556
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,8,500000,0.772330488778661,0.5999759999999997,0.13717603039395948,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,19,500000,0.7723565777978328,0.5999529999999998,0.13717928132605095,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,11,500000,0.7724569926955197,0.5999699999999997,0.13719179394721162,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,18,500000,0.7724491841661505,0.5999609999999997,0.13719082093252885,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,3,500000,0.7724177190185791,0.5999619999999998,0.13718690008531997,0.2,1.0,0.6666666666666666
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,5,500000,0.7724506701288788,0.6000039999999998,0.1371910060971718,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,18,500000,0.7724491841661505,0.5999609999999997,0.13719082093252885,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,13,500000,0.9335307884629634,0.7999930000000002,0.15726307253015182,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,10,500000,0.9333673218690834,0.7999500000000002,0.1572427030868843,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,0,500000,0.999875739762509,0.999953,0.1655302645570124,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,5,500000,0.7723390393879758,0.5999329999999997,0.1371770958786387,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,13,500000,0.9334336504037756,0.7999440000000001,0.15725096823325066,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,1,500000,0.9335286886092036,0.8000200000000002,0.15726281086903185,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,18,500000,0.7724421050715606,0.599972,0.1371899388121383,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,12,500000,0.772003541727272,0.5998309999999998,0.13713528977988856,0.2,1.0,0.8333333333333334
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,0,500000,0.772171223661795,0.5999569999999997,0.13715618449342717,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,0,500000,0.7722839136209437,0.5999009999999998,0.13717022670031004,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,4,500000,0.6329108268903549,0.6499870000000001,0.11980305634584235,0.2,1.0,0.3846153846153846
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,6,500000,0.7722560255020022,0.5999179999999998,0.137166751583816,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,15,500000,0.7722905573271435,0.5999669999999998,0.13717105456729686,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,2,500000,0.772328046629738,0.6000069999999997,0.13717572607970935,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,15,500000,0.9332377416222691,0.79994,0.157226556194584,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,0,500000,0.7722761926668481,0.6001219999999997,0.137169264598313,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,1,500000,0.7724447869518871,0.5999909999999997,0.13719027299912945,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,10,500000,0.772483825176103,0.5999989999999998,0.13719513752144288,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,12,500000,0.9333423031030662,0.7999180000000001,0.15723958551819386,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,8,500000,0.9332489420322518,0.799884,0.1572279518688334,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,12,500000,0.9313229130696242,0.7990970000000003,0.15698795091968135,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,7,500000,0.7725040326771698,0.5999799999999997,0.13719765556220453,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,3,500000,0.772457171198161,0.5999689999999998,0.1371918161902849,0.2,1.0,0.33333333333333326
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,8,500000,0.7724618731829778,0.6000379999999998,0.13719240210090244,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,16,500000,0.9335254685858558,0.8000370000000001,0.1572624096244635,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,19,500000,0.7724282094282747,0.6000009999999998,0.13718820728699388,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,15,500000,0.9330111938163906,0.7997220000000003,0.15719832625126842,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,16,500000,0.9332993156981436,0.7999120000000001,0.15723422889158897,0.2,1.0,0.25000000000000006
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,13,500000,0.7725259300778893,0.5999939999999998,0.13720038418002836,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,14,500000,0.7725056679844169,0.5999959999999998,0.13719785933655013,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,1,500000,0.772416138303738,0.5999719999999997,0.137186703113691,0.2,1.0,0.5
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,7,500000,0.7724549725910291,0.5999959999999998,0.13719154222358518,0.2,1.0,0.6666666666666666
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,12,500000,0.7723292613452633,0.5999549999999999,0.1371758774444524,0.2,1.0,0.33333333333333326
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,0,8,500000,0.9999572481890363,1.0000030000000002,0.16554042125772148,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,4,500000,0.9331736191955929,0.7998470000000001,0.1572185659495966,0.2,1.0,0.7500000000000001
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,12,500000,0.932868611335445,0.7997140000000003,0.15718055916083343,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,13,500000,0.7724915011716859,0.6000119999999998,0.13719609402119512,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,9,500000,0.771611450699521,0.6000689999999997,0.13708643162633002,0.2,1.0,0.0
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,5,500000,0.772485810083435,0.6000469999999998,0.13719538485917918,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,4,500000,0.7723886186130344,0.5999759999999997,0.13718327390674895,0.2,1.0,0.0
alpha,2,0.5,0.2,1.0,2e-05,0.1,0.0,split,,1,7,500000,0.7725040326771698,0.5999799999999997,0.13719765556220453,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,7,500000,0.7724549725910291,0.5999959999999998,0.13719154222358518,0.2,1.0,0.6666666666666666
memory,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,11,500000,0.7724516182260065,0.5999629999999997,0.13719112423880672,0.2,1.0,0.5
alpha,2,0.5,0.2,1.0,2e-05,0.125,0.0,split,,1,6,500000,0.7722458398628604,0.5999279999999998,0.1371654823593603,0.2,1.0,0.6666666666666666
alpha,2,0.5,0.2,1.0,2e-05,0.05,0.0,split,,1,3,500000,0.7724427376892744,0.6000239999999997,0.1371900176421324,0.2,1.0,-0.3333333333333335
alpha,2,0.5,0.2,1.0,2e-05,0.2,0.0,split,,1,15,500000,0.9331017294534696,0.7998310000000002,0.15720960782556073,0.2,1.0,0.625
