sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude,fee_condition,net_fee,heterogeneity
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,18,500000,0.7724491841661509,0.5999609999999997,0.1241353881908231,0.2,1.0,0.33333333333333326,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,2,500000,0.8606440087748263,0.5999379999999997,0.1347723698529846,0.1,1.0,0.5,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,10,500000,0.9997901015927312,0.9998630000000001,0.1497683213927333,0.2,1.0,0.4,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,19,500000,0.7723632298705202,0.5999349999999998,0.12412569675144976,0.2,1.0,0.5,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,1,500000,0.5300497375460806,0.38335299999999994,0.09723134234923161,0.1,1.0,0.7142857142857142,net_fee_10_taker20_rebate10,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,16,500000,0.7724534320358952,0.6000269999999998,0.12413586714271016,0.2,1.0,0.0,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,12,500000,0.77227114221975,0.5999849999999999,0.12411531376968109,0.2,1.0,0.5,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,14,500000,0.7725056679844173,0.5999959999999998,0.12414175680214481,0.2,1.0,0.0,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.1,split,,1,0.7,12.0,,,0.0,13,500000,0.93338668755229,0.7999180000000001,0.14228126496776258,0.2,1.0,0.5,net_fee_10_taker10_rebate00,0.1,
fee_split,2,0.5,0.2,1.0,2e-05,0.125,0.1,0.2,split,,1,0.7,12.0,,,0.0,5,500000,0.6402677883646005,0.399973,0.10974728481190403,0.1,1.0,0.7500000000000001,net_fee_10_taker20_rebate10,0.1,
